Mycorrhizal treatment,Soil P addition treatment,Combination,Rep,aboveground biomass (g dry weight),belowground biomass (g dry weight),Root:shoot ratio
Mycorrhizal,Low,ML,1,7.5,3,0.4
Mycorrhizal,Low,ML,2,6.8,2.4,0.35
Mycorrhizal,Low,ML,3,5.3,2,0.38
Mycorrhizal,Low,ML,4,6,4,0.67
Mycorrhizal,Low,ML,5,6.7,2.7,0.4
Mycorrhizal,Low,ML,6,7,3.6,0.51
Mycorrhizal,High,MH,1,12,7.9,0.66
Mycorrhizal,High,MH,2,12.7,8.8,0.69
Mycorrhizal,High,MH,3,12,9.5,0.79
Mycorrhizal,High,MH,4,10.2,9.2,0.9
Mycorrhizal,High,MH,5,12.9,8.5,0.66
Mycorrhizal,High,MH,6,13.5,9.7,0.72
Non-mycorrhizal,Low,NML,1,2.8,2.1,0.75
Non-mycorrhizal,Low,NML,2,3.3,2.9,0.88
Non-mycorrhizal,Low,NML,3,3,2.8,0.93
Non-mycorrhizal,Low,NML,4,2.5,3.7,1.48
Non-mycorrhizal,Low,NML,5,2,3.1,1.55
Non-mycorrhizal,Low,NML,6,3.4,3,0.88
Non-mycorrhizal,High,NMH,1,12.8,7.9,0.62
Non-mycorrhizal,High,NMH,2,13.5,10.1,0.75
Non-mycorrhizal,High,NMH,3,11.9,8.9,0.75
Non-mycorrhizal,High,NMH,4,12.5,7.8,0.62
Non-mycorrhizal,High,NMH,5,13.5,8.8,0.65
Non-mycorrhizal,High,NMH,6,9.9,9,0.91
